Date,"Mont Belvieu, TX Propane Spot Price FOB (Dollars per Gallon)"
3/15/2013,0.895
4/15/2013,0.939
5/15/2013,0.932
6/15/2013,0.863
7/15/2013,0.92
8/15/2013,1.061
9/15/2013,1.107
10/15/2013,1.136
11/15/2013,1.181
12/15/2013,1.275
1/15/2014,1.395
2/15/2014,1.443
3/15/2014,1.064
4/15/2014,1.101
5/15/2014,1.043
6/15/2014,1.046
7/15/2014,1.036
8/15/2014,1.018
9/15/2014,1.062
10/15/2014,0.936
11/15/2014,0.802
12/15/2014,0.558
1/15/2015,0.478
2/15/2015,0.573
3/15/2015,0.542
4/15/2015,0.548
5/15/2015,0.47
6/15/2015,0.369
7/15/2015,0.409
8/15/2015,0.374
9/15/2015,0.453
10/15/2015,0.451
11/15/2015,0.43
12/15/2015,0.387
1/15/2016,0.336
2/15/2016,0.375
3/15/2016,0.452
4/15/2016,0.457
5/15/2016,0.516
6/15/2016,0.507
7/15/2016,0.478
8/15/2016,0.449
9/15/2016,0.495
10/15/2016,0.573
11/15/2016,0.538
12/15/2016,0.637
1/15/2017,0.747
2/15/2017,0.768
3/15/2017,0.615
4/15/2017,0.651
5/15/2017,0.64
6/15/2017,0.59
7/15/2017,0.647
8/15/2017,0.758
9/15/2017,0.883
10/15/2017,0.934
11/15/2017,0.98
12/15/2017,0.957
1/15/2018,0.904
2/15/2018,0.827
3/15/2018,0.788
4/15/2018,0.821
5/15/2018,0.917
6/15/2018,0.88
7/15/2018,0.938
8/15/2018,0.974
9/15/2018,1.057
10/15/2018,0.959
11/15/2018,0.745
12/15/2018,0.677
1/15/2019,0.665
2/15/2019,0.673
3/15/2019,0.67
4/15/2019,0.642
5/15/2019,0.577
6/15/2019,0.449
7/15/2019,0.487
8/15/2019,0.405
9/15/2019,0.448
10/15/2019,0.466
11/15/2019,0.533
12/15/2019,0.496
1/15/2020,0.43
2/15/2020,0.397
3/15/2020,0.292
4/15/2020,0.327
5/15/2020,0.417
6/15/2020,0.496
7/15/2020,0.491
8/15/2020,0.506
9/15/2020,0.495
10/15/2020,0.526
11/15/2020,0.545
12/15/2020,0.644
1/15/2021,0.863
2/15/2021,0.905
3/15/2021,0.922
4/15/2021,0.823
5/15/2021,0.816
6/15/2021,0.965
7/15/2021,1.09
8/15/2021,1.115
9/15/2021,1.291
10/15/2021,1.454
11/15/2021,1.252
12/15/2021,1.033
1/15/2022,1.169
2/15/2022,1.283
3/15/2022,1.448
4/15/2022,1.302
5/15/2022,1.223
6/15/2022,1.219
7/15/2022,1.142
8/15/2022,1.093
9/15/2022,0.991
10/15/2022,0.859
11/15/2022,0.852
12/15/2022,0.692
1/15/2023,0.842
2/15/2023,0.828
3/15/2023,0.794
4/15/2023,0.811
5/15/2023,0.666
6/15/2023,0.574
7/15/2023,0.629
8/15/2023,0.679
9/15/2023,0.73
10/15/2023,0.675
11/15/2023,0.639
12/15/2023,0.687
1/15/2024,0.821
2/15/2024,0.908
3/15/2024,0.803
