Date,New York Harbor No. 2 Heating Oil Spot Price FOB (Dollars per Gallon)
2/15/2013,3.168
3/15/2013,2.943
4/15/2013,2.742
5/15/2013,2.739
6/15/2013,2.752
7/15/2013,2.885
8/15/2013,2.958
9/15/2013,2.961
10/15/2013,2.94
11/15/2013,2.923
12/15/2013,3.032
1/15/2014,3.063
2/15/2014,3.061
3/15/2014,2.912
4/15/2014,2.888
5/15/2014,2.86
6/15/2014,2.882
7/15/2014,2.776
8/15/2014,2.753
9/15/2014,2.633
10/15/2014,2.424
11/15/2014,2.249
12/15/2014,1.856
1/15/2015,1.616
2/15/2015,1.873
3/15/2015,1.632
4/15/2015,1.722
5/15/2015,1.832
6/15/2015,1.762
7/15/2015,1.557
8/15/2015,1.387
9/15/2015,1.423
10/15/2015,1.404
11/15/2015,1.316
12/15/2015,1.037
1/15/2016,0.939
2/15/2016,0.972
3/15/2016,1.132
4/15/2016,1.188
5/15/2016,1.356
6/15/2016,1.416
7/15/2016,1.292
8/15/2016,1.325
9/15/2016,1.351
10/15/2016,1.488
11/15/2016,1.39
12/15/2016,1.553
1/15/2017,1.551
2/15/2017,1.562
3/15/2017,1.492
4/15/2017,1.523
5/15/2017,1.454
6/15/2017,1.332
7/15/2017,1.423
8/15/2017,1.519
9/15/2017,1.708
10/15/2017,1.707
11/15/2017,1.823
12/15/2017,1.863
1/15/2018,2.017
2/15/2018,1.853
3/15/2018,1.874
4/15/2018,2.037
5/15/2018,2.187
6/15/2018,2.112
7/15/2018,2.108
8/15/2018,2.125
9/15/2018,2.225
10/15/2018,2.313
11/15/2018,2.033
12/15/2018,1.784
1/15/2019,1.819
2/15/2019,1.931
3/15/2019,1.965
4/15/2019,2.036
5/15/2019,2.006
6/15/2019,1.82
7/15/2019,1.888
8/15/2019,1.795
9/15/2019,1.919
10/15/2019,1.92
11/15/2019,1.915
12/15/2019,1.966
1/15/2020,1.829
2/15/2020,1.589
3/15/2020,1.156
4/15/2020,0.852
5/15/2020,0.843
6/15/2020,1.073
7/15/2020,1.187
8/15/2020,1.18
9/15/2020,1.069
10/15/2020,1.099
11/15/2020,1.16
12/15/2020,1.366
1/15/2021,1.477
2/15/2021,1.67
3/15/2021,1.704
4/15/2021,1.704
5/15/2021,1.834
6/15/2021,1.911
7/15/2021,1.947
8/15/2021,1.878
9/15/2021,2.053
10/15/2021,2.382
11/15/2021,2.253
12/15/2021,2.118
1/15/2022,2.481
2/15/2022,2.737
3/15/2022,3.635
4/15/2022,3.952
5/15/2022,4.497
6/15/2022,4.246
7/15/2022,3.552
8/15/2022,3.437
9/15/2022,3.257
10/15/2022,4.163
11/15/2022,3.821
12/15/2022,2.937
1/15/2023,3.085
2/15/2023,2.645
3/15/2023,2.571
4/15/2023,2.424
5/15/2023,2.181
6/15/2023,2.278
7/15/2023,2.498
8/15/2023,2.939
9/15/2023,3.168
10/15/2023,3.002
11/15/2023,2.811
12/15/2023,2.54
1/15/2024,2.59
2/15/2024,2.703
3/15/2024,2.601
